English,Україньска,Русский,Notes
Iraq,Ірак,Ирак,
Ireland,Ірландія,Ирландия,
Israel,Ізраїль,Израиль,
Italy,Італія,Италия,
Jamaica,Ямайка,Ямайка,
Japan,Японія,Япония,
Jordan,Йорданія,Иордания,
Kazakhstan,Казахстан,Казахстан,
Kenya,Кенія,Кения,
Kiribati,Кірібаті,Кирибати,
North Korea,Північна Корея,Северная Корея,
South Korea,Південна Корея,Южная Корея,
Kosovo,Косово,Косово,
Kuwait,Кувейт,Кувейт,
Kyrgyzstan,Киргизстан,Киргизия,
Laos,Лаос,Лаос,
Latvia,Латвія,Латвия,
Lebanon,Ліван,Ливан,
Lesotho,Лесото,Лесото,
Liberia,Ліберія,Либерия,
Libya,Лівія,Ливия,
Liechtenstein,Ліхтенштейн,Лихтенштейн,
Lithuania,Литва,Литва,
Luxembourg,Люксембург,Люксембург,
Macedonia,Македонія,Македония,
Madagascar,Мадагаскар,Мадагаскар,
Malawi,Малаві,Малави,
Malaysia,Малайзія,Малайзия,
Maldives,Мальдіви,Мальдивы,
Mali,Малі,Мали,
Malta,Мальта,Мальта,
Marshall Islands,Маршаллові острови,Маршалловы острова,
Mauritania,Мавританія,Мавритания,
Mauritius,Маврикій,Маврикий,
Mexico,Мексика,Мексика,
Federated States of Micronesia,Федеративні Штати Мікронезії,Федеративные Штаты Микронезии,
Moldova,Молдова,Молдова,
Monaco,Монако,Монако,
Mongolia,Монголія,Монголия,
Montenegro,Чорногорія,Черногория,
Morocco,Марокко,Марокко,
Mozambique,Мозамбік,Мозамбик,
Myanmar (Burma),М'янма (Бірма),Мьянма (Бирма),
Namibia,Намібія,Намибия,
Nauru,Науру,Науру,
Nepal,Непал,Непал,
Netherlands,Нідерланди,Нидерланды,
New Zealand,Нова Зеландія,Новая Зеландия,
Nicaragua,Нікарагуа,Никарагуа,
Niger,Нігер,Нигер,
Nigeria,Нігерія,Нигерия,
Norway,Норвегія,Норвегия,
Oman,Оман,Оман,
Pakistan,Пакистан,Пакистан,
Palau,Палау,Palau,
Panama,Панама,Панама,
Papua New Guinea,Папуа-Нова Гвінея,Папуа - Новая Гвинея,
Paraguay,Парагвай,Парагвай,
Peru,Перу,Перу,
Philippines,Філіппіни,Филиппины,
Poland,Польща,Польша,
Portugal,Португалія,Португалия,
Qatar,Катар,Катар,
Romania,Румунія,Румыния,
Russia,Росія,Россия,
Rwanda,Руанда,Руанда,
Saint Kitts and Nevis,Сент-Кітс і Невіс,Сент-Китс и Невис,
Saint Lucia,Сент-Люсія,Санкт-Люсия,
Saint Vincent and the Grenadines,Сент-Вінсент і Гренадини,Святой Винсент и Гренадины,
Samoa,Самоа,Самоа,
San Marino,Сан-Марино,Сан-Марино,
Sao Tome and Principe,Сан-Томе і Принсіпі,Сан-Томе и Принсипи,
Saudi Arabia,Саудівська Аравія,Саудовская Аравия,
Senegal,Сенегал,Сенегал,
Serbia,Сербія,Сербия,
Seychelles,Сейшельські острови,Сейшельские острова,
Sierra Leone,Сьєрра-Леоне,Сьерра-Леоне,
Singapore,Сінгапур,Сингапур,
Slovakia,Словаччина,Словакия,
Slovenia,Словенія,Словения,
Solomon Islands,Соломонові острови,Соломоновы острова,
Somalia,Сомалі,Сомали,
South Africa,Південна Африка,Южная Африка,
Spain,Іспанія,Испания,
Sri Lanka,Шрі Ланка,Шри-Ланка,
Sudan,Судан,Судан,
South Sudan,Південь Судан,южный Судан,
Suriname,Сурінам,Суринам,
Swaziland,Свазіленд,Свазиленд,
Sweden,Швеція,Швеция,
Switzerland,Швейцарія,Швейцария,
Syria,Сирія,Сирия,
Taiwan,Тайвань,Тайвань,
Tajikistan,Таджикистан,Таджикистан,
Tanzania,Танзанія,Танзания,
Thailand,Тайланд,Таиланд,
Togo,Йти,Идти,
Tonga,Тонга,Тонга,
Trinidad and Tobago,Тринідад і Тобаго,Тринидад и Тобаго,
Tunisia,Туніс,Тунис,
Turkey,Туреччина,Турция,
Turkmenistan,Туркменістан,Туркменистан,
Tuvalu,Тувалу,Тувалу,
Uganda,Уганда,Уганда,
Ukraine,Україна,Украина,
United Arab Emirates,Об'єднані Арабські Емірати,Объединенные Арабские Эмираты,
United Kingdom,Об'єднане Королівство,Великобритания,
United States,Сполучені Штати,Соединенные Штаты,
Uruguay,Уругвай,Уругвай,
Uzbekistan,Узбекистан,Узбекистан,
Vanuatu,Вануату,Вануату,
Vatican City,Ватикан,Ватикан,
Venezuela,Венесуела,Венесуэла,
Vietnam,В'єтнам,Вьетнам,
Yemen,Ємен,Йемен,
Zambia,Замбія,Замбия,
Zimbabwe,Зімбабве,Зимбабве,
