English,Україньска,Русский,Notes
to help,допомагати / допомогти,помогать/помочь,
"to stop, cease",переставати / перестати,переставать/перестать,
to serve,служити / послужити,служить/послужить,
to believe,вірити / повірити,верить/поверить,
"to expect, anticipate",очікувати,ожидать,
"to create, establish",створювати / створити,создавать/создать,
"to study, learn",вчитися / навчитися,учиться/научиться,
"to help, assist",допомагати / допомогти,помогать/помочь,
"to allow, permit",дозволяти / дозволити,позволять/позволить,
to meet,зустрічати / зустріти,встречать/встретить,
"to discover, find out",виявляти / виявити,обнаруживать/обнаружить,
to send,надсилати / надіслати,присылать/прислать,
"to treat, regard, relate",ставитися / поставитися,относиться/отнестись,
"to arise, appear",виникати / виникнути,возникать/возникнуть,
to repeat,повторювати / повторити,повторять/повторить,
to add,додавати / додати,добавлять/добавить,
to act,діяти,действовать,
"to hold on, behave",триматися,держаться,
"to get used to, to grow accustomed to",звикати / звикнути,привыкать/привыкнуть,
"to arise, spring up",виникати / виникнути,возникать/возникнуть,
"to try, text",пробувати / спробувати,пробовать/попробовать,
"to judge, try",судити,судить,
to end,кінчатися / скінчитися,кончаться/кончиться,
"to use, utilize, make use of",використовувати,использовать,
"to pass, give, transmit",передавати / передати,передавать/передать,
"to remind, resemble",нагадувати / нагадати,напоминать/напомнить,
"to begin, start, set in",починатися / початися,начинаться/начаться,
"to force, compel, make",змушувати / змусити,заставлять/заставить,
"to meet, be found, occur",зустрічатися / зустрітися,встречаться/встретиться,
"to decline, reject, give up",відмовлятися / відмовитися,отказываться/отказаться,
"to take out, pull out, extract, steal",витягувати / витягти,вытаскивать/вытащить,
"to offer, propose, suggest, invite",пропонувати / запропонувати,предлагать/предложить,
"to open, let out, discover",відкривати / відкрити,открывать/открыть,
"to end, finish, complete",закінчувати / закінчити,заканчивать/закончить,
"to like (as in ""I liked"")",подобатися / сподобатися,нравиться/понравиться,
"to save, rescue",рятувати / врятувати,спасать/спасти,
"to be able, manage, succeed",вміти / зуміти,уметь/суметь,
"to turn out, result in",обертатися / обернутися,оборачиваться/обернуться,
"to wait, postpone",чекати / почекати,ждать/подождать,
"to use, take advantage of",користуватися,пользоваться,
to repeat,повторювати / повторити,повторять/повторить,
"to set about, undertake",братися / взятися,браться/взяться,
"to arrange, to make, build",влаштовувати / влаштувати,устраивать/устроить,
"to consist of, be",складатися,состоять,
"to take into consideration, settle with",вважатися / порахуватися,считаться/посчитаться,
"to meet, be found, occur",зустрічатися / зустрітися,встречаться/встретиться,
"to be well, prosper, thrive",процвітати,здравствовать,
"to allow, permit, enable",дозволяти / дозволити,позволять/позволить,
"to find, discover, consider",знаходити / знайти,находить/найти,
to dream,мріяти / помріяти,мечтать/помечтать,
"to want, to feel like",хотіти / захотіти,хотеть/захотеть,
"to bear, stand, endure",витримувати / витримати,выдерживать/выдержать,
to meet,зустрічати / зустріти,встречать/встретить,
"to let, allow, permit, let in",пускати / пустити,пускать/пустить,
"to let go, release",відпускати / відпустити,отпускать/отпустить,
"to choose, select",вибирати / вибрати,выбирать/выбрать,
"to allow, permit",дозволяти / дозволити,разрешать/разрешить,
"to borrow, occupy, secure",займати / зайняти,занимать/занять,
"to lose, shed (leaves)",втрачати / втратити,терять/потерять,
"to let in, to let go",пускати / пустити,пускать/пустить,
"to check, verify, examine",проверять/проверить,проверять/проверить,
"to be ill, worry",хворіти / захворіти,болеть/заболеть,
"to try, test",відчувати / випробувати,испытывать/испытать,
to belong,належати,принадлежать,
"to affirm, approve, confirm",стверджувати / затвердити,утверждать/утвердить,
"to differ, be notable, distinguish oneself",відрізнятися / відзначитися,отличаться/отличиться,
"to return, give back",повертати / повернути,возвращать/вернуть,
to depend,залежати,зависеть,
"to meet, make the acquaintance",знайомитися / познайомитися,знакомиться/познакомиться,
"to be found, never be at a loss",находиться/найтись,находиться/найтись,
"to become, get, grow, happen",робитися / зробитися,делаться/сделаться,
"to guess, to have the sense to",здогадуватися / здогадатися,догадываться/догадаться,
"to live, reside, spend",проживати / прожити,проживать/прожить,
"to disassemble, unpack, to look into, examine",розбиратися / розібратися,разбираться/разобраться,
"to return, give back",віддавати / віддати,отдавать/отдать,
"to worry, be upset, be rough",хвилюватися / схвилюватися,волноваться/взволноваться,
"to prepare, train, cook",готувати / приготувати,готовить/приготовить,
"to feel sorry, pity, regret",жаліти / пошкодувати,жалеть/пожалеть,
"to prepare for, make ready for",готувати / приготувати,готовить/приготовить,
"to change into, turn into, be reduced to",перетворюватися / перетворитися,превращаться/превратиться,
"to endure, suffer, stand, tolerate",терпіти / потерпіти,терпеть/потерпеть,
"to define, determine",визначати / визначити,определять/определить,
"to treat, to cost, manage",обходитися / обійтися,обходиться/обойтись,
to stop,зупинятися / зупинитися,останавливаться/остановиться,
"to fulfill, carry out, execute, make",виконувати / виконати,выполнять/выполнить,
"to be required, be needed",турбуватися / потурбуватися,требоваться/потребоваться,
"to calm down, quiet, settle down, abate",заспокоїтися / заспокоюватися,успокоиться/успокаиваться,
to change,змінюватися / змінитися,изменяться/измениться,
to bring,приводити / привести,приводить/привести,
"to prove, demostrate",доводити / довести,доказывать/доказать,
"to change, to",змінювати / змінити,изменять/изменить,
"to catch, to betray, be unfaithful",ловити / зловити,ловить/поймать,
"to force, compel, make",змушувати / змусити,заставлять/заставить,
"to include, to switch on",вмикати / включити,включать/включить,
"to strike, startle, affect",вражати / вразити,поражать/поразить,
"to keep quiet, be silent",мовчати / помовчати,молчать/помолчать,
"to open, come to light",відкриватися / відкритися,открываться/открыться,
"to direct, aim, send",направляти / направити,направлять/направить,
"to assign, allot, fix",призначати / призначити,назначать/назначить,
"to choose, select",вибирати / вибрати,выбирать/выбрать,
to confirm,підтверджувати / підтвердити,подтверждать/подтвердить,
"to enter, act, treat, behave",надходити / надійти,поступать/поступить,
"to create, establish",створювати / створити,создавать/создать,
"to hide, conceal",приховувати / приховати,скрывать/скрыть,
"to give, serve",подавати / подати,подавать/подать,
"to implement, execute, accomplish",виконувати / виконати,выполнять/выполнить,
be able,могти / змогти,мочь/смочь,
"to be able, know, can",уміти,уметь,
"to exist, to be",існувати,существовать,
"to turn out, find oneself",надаватися / виявитися,оказываться/оказаться,
to call oneself,називатися / назватися,называться/назваться,
"to mean, signify",означати,означать,
"to cost, be worth (something)",коштувати,стоить,
